Nom complet,Adresse,Email,Téléphone,Nationalité,Métier,Années d’expérience,Formation,Institution,Compétences,Certificats,Langues parlées,Hobbies,Expériences,Références,Langue du CV,Format,Template
Rachid Rihana Abdallah Madar,"Avenue Gabode, Djibouti",rachid.abdallahmadar@example.com,25377981263,Djibouti,Enseignant,14,Master en Enseignant,Centre de Formation Technique de Balbala,"Motivation des élèves, Gestion de classe, Communication, Technologies éducatives","First Aid Certification (Université de Djibouti), AWS Certified Solutions Architect (Centre de Formation Technique de Balbala), PMP (École Nationale de Commerce)","Arabe (Courant), Français (Courant), Somali (Intermédiaire)","Lecture, Football, Voyage, Cuisine","['Enseignant chez Rodrigues et Fils (2021-2025): Adaptabilité, Technologies éducatives, Planification de cours', 'Enseignant Senior chez Traore SARL (2019-2021): Pédagogie, Évaluation des élèves, Gestion de classe', ""Enseignant Junior chez Bernard (2017-2019): Travail d'équipe, Pédagogie, Planification de cours, Créativité""]","['Geneviève Michaud, Superviseur, geneviève.michaud', 'Amélie François, Collègue, amélie.françois']",Français,pdf,compact
Solomon Romano,"239 Alvarez Plains
East Larry, ME 97848",solomon.romano@example.com,25377139832,Ethiopian,Médecin,4,Master en Médecin,Centre de Formation Technique de Balbala,"Éthique médicale, Pharmacologie, Gestion des urgences, Mise à jour des connaissances, Empathie, Analyse de dossiers médicaux, Soins aux patients, Chirurgie",TOEFL (École Nationale de Commerce),"Amharique (Débutant), Anglais (Débutant)","Photographie, Lecture, Football","['Médecin chez Aéroport International de Djibouti (2022-2025): Chirurgie, Communication patient, Pharmacologie, Éthique médicale, Mise à jour des connaissances']","['Émilie Gaillard, Superviseur, émilie.gaillard']",Français,pdf,classic
Fadumo Amal Mohamed Farhan,"Boulevard de la République, Djibouti",fadumo.mohamedfarhan@example.com,25377481444,Djibouti,Ingénieur informatique,15,Master en Ingénieur informatique,Centre de Formation Technique de Balbala,"Conception de systèmes, Maintenance système, Gestion de bases de données, Analyse des besoins, Agilité, Python, Cybersécurité","Microsoft Certified: Azure Fundamentals (Université de Djibouti), First Aid Certification (Centre de Formation Technique de Balbala)","Arabe (Intermédiaire), Somali (Courant)","Football, Cuisine","['Ingénieur informatique Junior chez Torres SARL (2024-2025): Programmation, Résolution de problèmes, Java', 'Ingénieur informatique Senior chez Fischer S.A.S. (2020-2024): DevOps, Programmation, Conception de systèmes, Résolution de problèmes, Cybersécurité', 'Ingénieur informatique Senior chez Banque de Djibouti (2015-2020): DevOps, Cybersécurité', 'Ingénieur informatique chez Teixeira (2010-2015): Maintenance système, Résolution de problèmes']","['René Leclercq de Seguin, Superviseur, rené.leclercq.de.seguin', 'Josette Vidal, Collègue, josette.vidal']",Français,pdf,modern
Aliyow Houssein Yassin Madar,"Quartier Ambouli, Djibouti",aliyow.yassinmadar@example.com,25377841135,Djibouti,Infirmier,5,Licence en Infirmier,Lycée d’État de Djibouti,"Surveillance des patients, Hygiène hospitalière, Soins infirmiers, Communication, Collaboration médicale, Travail sous pression","Coursera Machine Learning (Lycée d’État de Djibouti), Cisco CCNA (École Nationale de Commerce), CAPES (École Nationale de Commerce)","Arabe (Débutant), Français (Débutant), Afar (Intermédiaire)","Lecture, Cuisine, Musique","['Infirmier chez Paris et Fils (2020-2025): Travail sous pression, Collaboration médicale, Administration de médicaments, Premiers secours']","['André Gilles, Collègue, andré.gilles']",Français,pdf,compact
Mohamed Duale Tahlil Warsame,"Avenue Gabode, Djibouti",mohamed.tahlilwarsame@example.com,25377557304,Djibouti,Commerçant,12,Doctorat en {job},Lycée d’État de Djibouti,"Analyse de marché, Gestion des stocks, Gestion du temps, Fidélisation client, Marketing, Résolution de conflits, Vente",IELTS (École Nationale de Commerce),"Arabe (Intermédiaire), Français (Débutant), Afar (Intermédiaire)","Football, Cuisine, Photographie, Voyage","['Commerçant Junior chez Turpin Brun S.A.R.L. (2021-2025): Vente, Gestion des stocks, Résolution de conflits, Comptabilité de base, Négociation', 'Commerçant chez Banque de Djibouti (2018-2021): Négociation, Vente, Service client, Marketing', 'Commerçant Senior chez Banque de Djibouti (2014-2018): Analyse de marché, Négociation, Marketing', 'Commerçant Senior chez Djibouti Telecom (2013-2014): Comptabilité de base, Vente, Analyse de marché, Négociation, Service client']","['Guillaume Pichon, Manager, guillaume.pichon']",Français,pdf,compact
Andrei Makarov,"879 Hickman Expressway Suite 726
North Randyton, MH 31280",andrei.makarov@example.com,25377713633,Russian,Comptable,16,Master en Comptable,Université de Djibouti,"Budgétisation, Fiscalité, Gestion de la paie, Conformité réglementaire","Coursera Machine Learning (Institut de Formation Professionnelle), Cisco CCNA (Centre de Formation Technique de Balbala)",Russe (Courant),"Photographie, Cuisine, Football, Musique","['Comptable Senior chez Loiseau (2022-2025): Analyse financière, Logiciels comptables, Gestion de la paie, Reporting', 'Comptable Junior chez Djibouti Telecom (2021-2022): Analyse financière, Logiciels comptables', 'Comptable Senior chez Salmon (2020-2021): Conformité réglementaire, Comptabilité générale, Audit', 'Comptable chez Besson (2016-2020): Excel avancé, Analyse financière, Conformité réglementaire']","['Corinne Dufour, Superviseur, corinne.dufour']",Anglais,pdf,compact
Ayan Farah Warsame Madar,"Rue de Balbala, Djibouti",ayan.warsamemadar@example.com,25377283341,Djibouti,Avocat,17,Baccalauréat,Lycée d’État de Djibouti,"Connaissance des lois, Éthique professionnelle, Négociation, Rédaction juridique, Communication client",CAPES (Université de Djibouti),"Arabe (Intermédiaire), Français (Courant)","Cuisine, Photographie, Football, Musique","['Avocat Junior chez Banque de Djibouti (2021-2025): Éthique professionnelle, Rédaction juridique, Négociation', 'Avocat chez Banque de Djibouti (2018-2021): Rédaction juridique, Recherche juridique, Négociation', 'Avocat chez Électricité de Djibouti (2015-2018): Éthique professionnelle, Droit', 'Avocat Senior chez Henry S.A.R.L. (2011-2015): Éthique professionnelle, Plaidoyer, Recherche juridique, Résolution de litiges, Droit']","['Astrid Bousquet, Manager, astrid.bousquet', 'Gabrielle Gilbert-Guyot, Manager, gabrielle.gilbert-guyot']",Français,pdf,modern
Idriss Dini Khalif Warsame,"Rue de Balbala, Djibouti",idriss.khalifwarsame@example.com,25377317951,Djibouti,Chauffeur,20,Diplôme professionnel,École Nationale de Commerce,"Règles de circulation, Service client, Connaissance des routes, Respect des horaires, Conduite sécuritaire",CFA Level 1 (Centre de Formation Technique de Balbala),"Arabe (Courant), Somali (Courant), Afar (Débutant), Anglais (Intermédiaire)","Lecture, Photographie, Voyage, Cuisine","['Chauffeur Senior chez Djibouti Telecom (2023-2025): Navigation GPS, Règles de circulation, Respect des horaires, Entretien du véhicule', 'Chauffeur Junior chez Djibouti Telecom (2022-2023): Gestion du stress, Connaissance des routes, Navigation GPS', 'Chauffeur chez Hôpital Général Peltier (2021-2022): Service client, Règles de circulation', 'Chauffeur chez Électricité de Djibouti (2020-2021): Conduite sécuritaire, Entretien du véhicule, Respect des horaires']","['Julie Auger, Manager, julie.auger', 'Jamie Thompson, Manager, jamie.thompson']",Français,pdf,compact
Marco Morel,"24590 Wilson Plaza
Robertton, FL 24780",marco.morel@example.com,25377323531,Italian,Électricien,8,Doctorat en {job},École Nationale de Commerce,"Test de circuits, Utilisation d'outils électriques, Connaissance des normes, Maintenance, Dépannage, Installation électrique, Câblage","IELTS (École Nationale de Commerce), PMP (Lycée d’État de Djibouti)",Italien (Intermédiaire),"Musique, Football","['Électricien Senior chez Électricité de Djibouti (2024-2025): Lecture de schémas, Test de circuits, Maintenance', ""Électricien chez Électricité de Djibouti (2022-2024): Utilisation d'outils électriques, Test de circuits, Dépannage, Installation électrique, Maintenance"", 'Électricien chez Djibouti Telecom (2021-2022): Normes de sécurité, Installation électrique, Test de circuits', 'Électricien Junior chez Deschamps Maillet S.A. (2017-2021): Installation électrique, Maintenance, Dépannage']","['Stéphane Le Meyer, Manager, stéphane.le.meyer', 'Nathalie Chauveau, Collègue, nathalie.chauveau']",Français,pdf,modern
Hailu Morel,"PSC 6666, Box 9001
APO AP 18423",hailu.morel@example.com,25377934621,Ethiopian,Pharmacien,4,Diplôme professionnel,Université de Djibouti,"Réglementation pharmaceutique, Gestion des stocks, Communication, Analyse des prescriptions, Vigilance médicamenteuse","First Aid Certification (Lycée d’État de Djibouti), CAPES (Institut de Formation Professionnelle), PMP (Lycée d’État de Djibouti)",Amharique (Intermédiaire),"Photographie, Voyage, Football","['Pharmacien Junior chez Rodrigues (2024-2025): Vigilance médicamenteuse, Dispensation de médicaments, Conseil aux patients, Pharmacologie', 'Pharmacien Senior chez Charpentier S.A.R.L. (2022-2024): Vigilance médicamenteuse, Dispensation de médicaments, Gestion des stocks, Analyse des prescriptions, Communication']","['Christiane Paul-Boutin, Superviseur, christiane.paul-boutin', 'Alexandrie Hoarau-Leroux, Superviseur, alexandrie.hoarau-leroux']",Français,pdf,modern
